vendor_id,name,source_category,category,email,phone,website,ranking_score,seo_description,social_description,promo_available,trusted_partner,pricing_from,created_time
recc81Pxjr8I0AerQ,Lydia K Photography,All Vendors,Photographer & Videographer,hello@lydiakphotography.com,+65 8752 6790,https://www.lydiakphotography.com/,1352,"Instagram: @lydiakphoto · facebook.com/lydiakphotography · +65 8752 6790 · hello@lydiakphotography.com · “Had our wedding in May and we are glad that we found Lydia (and Gary) as our wedding photographer. We saw their works through a friend and we fell in love with their bright and airy style immediately. Lydia and Gary was more like a friend than photographer. They are easy to talk to and they were able to make us feel comfortable during our (stressful) wedding day. We felt that we are able to communicate what we wanted freely. They were also able to capture all the precious emotional moments during our actual day, not only for us, but also our family and friends. Both Lydia and Gary have amazing chemistry as they are able to take the pictures from different angles and different places simultaneously. No regrets, will definitely intro them to my friends :) To Lydia and Gary, thank you for joining us on our special day~”","Instagram: @lydiakphoto · facebook.com/lydiakphotography · +65 8752 6790 · hello@lydiakphotography.com · “Had our wedding in May and we are glad that we found Lydia (and Gary) as our wedding photographer. We saw their works through a friend and we fell in love with their bright and airy style immediately. Lydia and Gary was more like a friend than photographer. They are easy to talk to and they were able to make us feel comfortable during our (stressful) wedding day. We felt that we are able to communicate what we wanted freely. They were also able to capture all the precious emotional moments during our actual day, not only for us, but also our family and friends. Both Lydia and Gary have amazing chemistry as they are able to take the pictures from different angles and different places simultaneously. No regrets, will definitely intro them to my friends :) To Lydia and Gary, thank you for joining us on our special day~”",,,,2023-09-20T08:59:46Z
recisEYoE4WzG2Waj,Anna Makeup Artist,All Vendors,Makeup Artist,tiennguyen13061995@gmail.com,89258028,,1268,"Instagram: @annamakeup.sg · facebook.com/annamakeupartist.sg · 89258028 · tiennguyen13061995@gmail.com · “Had Anna as my pws MUA and I absolutely love her and her service. My make up and hair was initially supposed to start at 4am, however, the night before I realised I needed to start at 3:30am and I texted Anna. She immediately replied and said okay 🥹💓 Not to mention she's super duper sweet while doing my hair and make up 🩷 High recommended!”","Instagram: @annamakeup.sg · facebook.com/annamakeupartist.sg · 89258028 · tiennguyen13061995@gmail.com · “Had Anna as my pws MUA and I absolutely love her and her service. My make up and hair was initially supposed to start at 4am, however, the night before I realised I needed to start at 3:30am and I texted Anna. She immediately replied and said okay 🥹💓 Not to mention she's super duper sweet while doing my hair and make up 🩷 High recommended!”",,,,2024-05-15T14:09:27Z
rec9oYu7H6qh0ANIP,Curly Beans Cafe: Matcha & Coffee Live Station,All Vendors,Food Catering,hello@curlybeans.sg,+65 8748 4953,https://curlybeans.sg/pages/events,1177,"Instagram: @curlybeanscafe · +65 8748 4953 · hello@curlybeans.sg · “Hands down one of the best homemade matcha I’ve had! Creamy, earthy, and just the right sweetness. So soothing and aesthetic”","Instagram: @curlybeanscafe · +65 8748 4953 · hello@curlybeans.sg · “Hands down one of the best homemade matcha I’ve had! Creamy, earthy, and just the right sweetness. So soothing and aesthetic”",,,,2026-01-02T05:45:03Z
recijR57YEqIIgvs7,Emcee Bean,All Vendors,Emcees & Entertainment,hi@emceebean.com,+65 9670 9148,https://www.emceebean.com/,1136,Instagram: @emcee_bean · +65 9670 9148 · hi@emceebean.com · “Thanks Bean for being such a wonderful host! My guests enjoyed themselves very much 🙂”,Instagram: @emcee_bean · +65 9670 9148 · hi@emceebean.com · “Thanks Bean for being such a wonderful host! My guests enjoyed themselves very much 🙂”,,,,2025-11-04T16:23:48Z
rec6w1QJRdP7c0jTo,Of Wild Promises Photography,All Vendors,Photographer & Videographer,ofwildpromises@gmail.com,+65 9389 8467,https://ofwildpromises.com/,1136,Instagram: @ofwildpromisesphotography · +65 9389 8467 · ofwildpromises@gmail.com · “Gurmit was a great photographer who took time to get to know us and what we wanted from our wedding! He was very professional and was very flexible and adaptable in the approach! And the photos as well are absolutely sublime!”,Instagram: @ofwildpromisesphotography · +65 9389 8467 · ofwildpromises@gmail.com · “Gurmit was a great photographer who took time to get to know us and what we wanted from our wedding! He was very professional and was very flexible and adaptable in the approach! And the photos as well are absolutely sublime!”,,,,2026-03-26T06:56:06Z
recZS0BfUul45o4CX,Event Kaki SG,All Vendors,Photobooth & Equipment,hey@eventkaki.sg,+65 8889 6334,http://eventkaki.sg/,1112,Instagram: @event.kaki · facebook.com/event.kaki · +65 8889 6334 · hey@eventkaki.sg · “I also got photobooth @event.kaki for my wedding before dinner started. (5pm to 7pm) and had decided to customise the border for printout. The photo quality turned out great and service is also super good. It is also quite affordable in my opinion. What’s even better was everyone got to get to keep a copy of the printout too. Definitely recommend 💯 them if you are still looking 👀 for any “vendors” for your wedding.”,Instagram: @event.kaki · facebook.com/event.kaki · +65 8889 6334 · hey@eventkaki.sg · “I also got photobooth @event.kaki for my wedding before dinner started. (5pm to 7pm) and had decided to customise the border for printout. The photo quality turned out great and service is also super good. It is also quite affordable in my opinion. What’s even better was everyone got to get to keep a copy of the printout too. Definitely recommend 💯 them if you are still looking 👀 for any “vendors” for your wedding.”,,,,2023-11-10T09:18:10Z
recEM15WKS7tqRLbR,Emcee Botak Kai,All Vendors,Emcees & Entertainment,,+65 9385 6844,http://www.emceebotakkai.com/,1086,"Instagram: @emceebotakkai · facebook.com/emceebotakkai · +65 9385 6844 · “We wanted to express our sincere gratitude for Kai’s incredible work as the emcee for our solemnisation and lunch banquet. He truly brought an amazing energy and hype to the event, creating a fantastic atmosphere that everyone thoroughly enjoyed. Kai made the day so much more memorable and fun for us and our loved ones. We received so many compliments on how much everyone enjoyed his engagement. Thank Kai for making our special day so perfect. We couldn't have asked for a better emcee. 🙆🏻‍♀️ 🙆🏻‍♀️🙆🏻‍♀️”","Instagram: @emceebotakkai · facebook.com/emceebotakkai · +65 9385 6844 · “We wanted to express our sincere gratitude for Kai’s incredible work as the emcee for our solemnisation and lunch banquet. He truly brought an amazing energy and hype to the event, creating a fantastic atmosphere that everyone thoroughly enjoyed. Kai made the day so much more memorable and fun for us and our loved ones. We received so many compliments on how much everyone enjoyed his engagement. Thank Kai for making our special day so perfect. We couldn't have asked for a better emcee. 🙆🏻‍♀️ 🙆🏻‍♀️🙆🏻‍♀️”",,,,2024-01-20T13:29:23Z
recQqJ6CT6MSSUQ4D,Korean Artiz Studio,All Vendors,Photographer & Videographer,,,,1084,Instagram: @artizstudio · facebook.com/ArtizStudio · “May was our gown consultant. She took time to understand our preferences re the designs and suit colours. She had an eye for what designs would suit us. In fact we ended up choosing the first few gowns she picked out for us. Overall a very comfortable gown fitting experience! Thank you artiz studio and May for the service!”,Instagram: @artizstudio · facebook.com/ArtizStudio · “May was our gown consultant. She took time to understand our preferences re the designs and suit colours. She had an eye for what designs would suit us. In fact we ended up choosing the first few gowns she picked out for us. Overall a very comfortable gown fitting experience! Thank you artiz studio and May for the service!”,,,,2023-09-20T08:59:47Z
recun4pCbe8xzMMX1,V-In Production Wedding Photography,All Vendors,Photographer & Videographer,,+65 9890 0886,http://v-inproduction.com/,1082,"Instagram: @v_in_production_photography · facebook.com/VInProductionWeddingPhotographyVideography · +65 9890 0886 · “We were Blessed and full of happiness that we found V-In Production. We loved all the photos. We are grateful to you Vincent for capturing all the moments in our ROM, for guiding us in our best posture and making us feel at ease and making it fun during the shoot. Your professionalism, outstanding service, patience and expertise in photography made our special day even more memorable.”","Instagram: @v_in_production_photography · facebook.com/VInProductionWeddingPhotographyVideography · +65 9890 0886 · “We were Blessed and full of happiness that we found V-In Production. We loved all the photos. We are grateful to you Vincent for capturing all the moments in our ROM, for guiding us in our best posture and making us feel at ease and making it fun during the shoot. Your professionalism, outstanding service, patience and expertise in photography made our special day even more memorable.”",,,,2023-09-20T08:59:48Z
recubaBbFXhwB11X2,Emcee Alex Tan,All Vendors,Emcees & Entertainment,emceealextan@gmail.com,+65 8792 7627,https://www.emceealextan.com/,1074,+65 8792 7627 · emceealextan@gmail.com · “Alex is a seasoned wedding emcee who prides himself in ensuring the proposed banquet event flows smoothly. His friendly and approachable demeanor made it easy to work with and everyone had a great time on D-day. Tyvm for your help rendered! 🙏”,+65 8792 7627 · emceealextan@gmail.com · “Alex is a seasoned wedding emcee who prides himself in ensuring the proposed banquet event flows smoothly. His friendly and approachable demeanor made it easy to work with and everyone had a great time on D-day. Tyvm for your help rendered! 🙏”,,,,2024-07-18T15:26:38Z
rec1DSTG8fVCdTLP2,Story & Art | Photography,All Vendors,Photographer & Videographer,vincent@vt-photo.com,+65 9826 3338,http://www.vt-photo.com/,1073,"Instagram: @vincenttayphoto · facebook.com/vincenttayphotography · +65 9826 3338 · vincent@vt-photo.com · “We reached out to Vincent remotely to plan a photoshoot for our casual wedding lunch at Alkaff Mansion in March 2024. From the start, Vincent was very responsive and worked with us to ensure that we got the coverage that we needed (even recommending to us that we reduce the coverage since our event was not a very long one). We greatly appreciated his flexibility and professionalism that put our mind at ease. On the actual day, Vincent came early and helped us to capture photos before the lunch and during the lunch. Vincent patiently guided us on how to pose for the pre-lunch photoshoot and was also able to capture great candid photos with our guests! His turnaround time was very fast and my parents were very impressed with his creativity and artistic eye. We are so happy with how the photos turned out and highly recommend Vincent to anyone looking for photography for their events and/or wedding!”","Instagram: @vincenttayphoto · facebook.com/vincenttayphotography · +65 9826 3338 · vincent@vt-photo.com · “We reached out to Vincent remotely to plan a photoshoot for our casual wedding lunch at Alkaff Mansion in March 2024. From the start, Vincent was very responsive and worked with us to ensure that we got the coverage that we needed (even recommending to us that we reduce the coverage since our event was not a very long one). We greatly appreciated his flexibility and professionalism that put our mind at ease. On the actual day, Vincent came early and helped us to capture photos before the lunch and during the lunch. Vincent patiently guided us on how to pose for the pre-lunch photoshoot and was also able to capture great candid photos with our guests! His turnaround time was very fast and my parents were very impressed with his creativity and artistic eye. We are so happy with how the photos turned out and highly recommend Vincent to anyone looking for photography for their events and/or wedding!”",,,,2023-09-20T08:59:46Z
recmnx7o2QncIoehL,Emcee Dixon,All Vendors,Emcees & Entertainment,dixontioh@gmail.com,,https://dixgoesemcee.com,1069,Instagram: @emceedixon · facebook.com/emceedixon · dixontioh@gmail.com · “Highly recommend emcee Dixon for your big day! His energy is very infectious and very accommodating to the many activities in our programme 🙂 he is also very quick on his feet and able to kill any awkward silences in the room! Guests also commented that his hosting was well paced 🙂 Energy - 5/5 Humor - 5/5 Pacing - 5/5 Multilingual - yes”,Instagram: @emceedixon · facebook.com/emceedixon · dixontioh@gmail.com · “Highly recommend emcee Dixon for your big day! His energy is very infectious and very accommodating to the many activities in our programme 🙂 he is also very quick on his feet and able to kill any awkward silences in the room! Guests also commented that his hosting was well paced 🙂 Energy - 5/5 Humor - 5/5 Pacing - 5/5 Multilingual - yes”,,,,2024-07-18T15:26:39Z
recuAkVHvR01YiwOx,Emcee Brian Lee,All Vendors,Emcees & Entertainment,leesinshingbrian@gmail.com,94513443,,1068,"Instagram: @emceebrianlee · facebook.com/EmceeBrianLee · 94513443 · leesinshingbrian@gmail.com · “We had decided on Brian as our Emcee for our wedding based on a friend's recommendation. I think that it was definitely one of the best decisions we made for our wedding. During the planning process, Brian was really meticulous and provided us great tips and advice from guided timelines to possible scenarios to anticipate/avoid and game ideas. It was very assuring to know that he was bilingual(including dialects), experienced and would be able to handle different impromptu situations. He also took time to get to know us, making his script personalized to our story. On the actual day, Brian was punctual and able to warm up the guests quickly. His charisma and energy kept the audience engaged and entertained throughout the lunch without making them feel uncomfortable. Due to the extra time needed for my hairdo for the 2nd March-in, there was a slight delay in the schedule. Brian demonstrated the ability to think on his feet and made the necessary adjustments accordingly. He was also able to transit between the 2 different languages with the right amount of humor adding a delightful touch to the banquet. Brian's professionalism and poise are truly commendable and I would definitely recommend him to others with any hesitation. Thank you Brian!”","Instagram: @emceebrianlee · facebook.com/EmceeBrianLee · 94513443 · leesinshingbrian@gmail.com · “We had decided on Brian as our Emcee for our wedding based on a friend's recommendation. I think that it was definitely one of the best decisions we made for our wedding. During the planning process, Brian was really meticulous and provided us great tips and advice from guided timelines to possible scenarios to anticipate/avoid and game ideas. It was very assuring to know that he was bilingual(including dialects), experienced and would be able to handle different impromptu situations. He also took time to get to know us, making his script personalized to our story. On the actual day, Brian was punctual and able to warm up the guests quickly. His charisma and energy kept the audience engaged and entertained throughout the lunch without making them feel uncomfortable. Due to the extra time needed for my hairdo for the 2nd March-in, there was a slight delay in the schedule. Brian demonstrated the ability to think on his feet and made the necessary adjustments accordingly. He was also able to transit between the 2 different languages with the right amount of humor adding a delightful touch to the banquet. Brian's professionalism and poise are truly commendable and I would definitely recommend him to others with any hesitation. Thank you Brian!”",,,,2024-07-18T15:26:40Z
rece3psjN2szgBeMB,Ibtiiman Bridal,All Vendors,Gowns & Bridal Shops,,+65 9769 0424,,1065,"Instagram: @ibtiimanbridal · +65 9769 0424 · “I really appreciate everything Iman and Ibtisam did for us for our wedding! They are very attentive to our needs and always willing to help to make us feel the best on our wedding day. They are very professional and respectable and I truly loved how I looked on my wedding day. The makeup and hair by Ibtisam, Fadhilla and the hairstylist was done really well. I got so many compliments on my hair and my lipstick especially! It was also a good idea to get the trial makeup to get used to the style of makeup. Ibtisam was extremely meticulous in the makeup and made me look flawless. Their selection of gowns and lehengas is amazing too, they were very kind throughout the process and made changes to the outfit that I requested. I got endless amount of compliments on my outfits. I wish I could wear my wedding dress everyday! Overall I am so appreciative of the team at Ibtiiman and I would definitely recommend them to anyone!”","Instagram: @ibtiimanbridal · +65 9769 0424 · “I really appreciate everything Iman and Ibtisam did for us for our wedding! They are very attentive to our needs and always willing to help to make us feel the best on our wedding day. They are very professional and respectable and I truly loved how I looked on my wedding day. The makeup and hair by Ibtisam, Fadhilla and the hairstylist was done really well. I got so many compliments on my hair and my lipstick especially! It was also a good idea to get the trial makeup to get used to the style of makeup. Ibtisam was extremely meticulous in the makeup and made me look flawless. Their selection of gowns and lehengas is amazing too, they were very kind throughout the process and made changes to the outfit that I requested. I got endless amount of compliments on my outfits. I wish I could wear my wedding dress everyday! Overall I am so appreciative of the team at Ibtiiman and I would definitely recommend them to anyone!”",,,,2024-09-28T04:51:04Z
recnW0dK2hyGvJQAF,ST Bridal Makeup ,All Vendors,Makeup Artist,,+65 9791 4761,http://instagram.com/stbridalmakeup,1064,"Instagram: @stbridalmakeup · facebook.com/stbridalmakeup · +65 9791 4761 · “Hey..! Look at here, if you want the feel like the photo attached can look for Summer :) She is gorgeous, friendly and kind. I super love the hairstyle and makeup, thank you for your valuable time with me!! Will look for you on my big day too :’)”","Instagram: @stbridalmakeup · facebook.com/stbridalmakeup · +65 9791 4761 · “Hey..! Look at here, if you want the feel like the photo attached can look for Summer :) She is gorgeous, friendly and kind. I super love the hairstyle and makeup, thank you for your valuable time with me!! Will look for you on my big day too :’)”",,,,2023-11-04T08:40:55Z
recZGEcw3dHVOPXMm,Chloe Makeup,All Vendors,Makeup Artist,chloemakeupsg@gmail.com,+65 9633 2591,https://www.instagram.com/chloe_makeup_sg/,1064,Instagram: @chloe_makeup_sg · +65 9633 2591 · chloemakeupsg@gmail.com · “Miss Chloe's bridal makeup is super beautiful! Very thoughtful and aesthetically pleasing! highly recommended :)”,Instagram: @chloe_makeup_sg · +65 9633 2591 · chloemakeupsg@gmail.com · “Miss Chloe's bridal makeup is super beautiful! Very thoughtful and aesthetically pleasing! highly recommended :)”,,,,2023-11-04T08:40:55Z
rec6AiSb3ENfBMGR1,Ollabooth: Photobooth + Video Guestbook in 1,All Vendors,Photobooth & Equipment,ollabooth@gmail.com,,,1062,Instagram: @ollabooth · facebook.com/ollabooth · ollabooth@gmail.com · “Danial and I engaged Ollabooth for our wedding photobooth and we absolutely loved it as much as our guests did! The Ollabooth team were very responsive via email/whatsapp that made our experience with them wonderful! We both were quite lucky cos they released new backdrops a few weeks prior to our wedding so we managed to secure the Tropicana backdrop for our special date! Their service was tip top and the props they offered were of a great variety for the young and old!! (Our aunties and uncles enjoyed the Bob Marley wig the most haha 😂) All the best to you guys and will definitely recommend to our friends and families! Hayati ♡ Danial 19.10.19”,Instagram: @ollabooth · facebook.com/ollabooth · ollabooth@gmail.com · “Danial and I engaged Ollabooth for our wedding photobooth and we absolutely loved it as much as our guests did! The Ollabooth team were very responsive via email/whatsapp that made our experience with them wonderful! We both were quite lucky cos they released new backdrops a few weeks prior to our wedding so we managed to secure the Tropicana backdrop for our special date! Their service was tip top and the props they offered were of a great variety for the young and old!! (Our aunties and uncles enjoyed the Bob Marley wig the most haha 😂) All the best to you guys and will definitely recommend to our friends and families! Hayati ♡ Danial 19.10.19”,,,,2026-03-20T14:59:40Z
recSIxdlhVbR2POTt,Joyce Yeo Makeup,All Vendors,Makeup Artist,hi@joyceyeomakeup.com,+65 9067 9807,http://www.joyceyeomakeup.com/,1057,"Instagram: @joyceyeomakeup · facebook.com/joyceyeomakeup · +65 9067 9807 · hi@joyceyeomakeup.com · “Joyce has been an incredible help for my recent wedding. She provided practical and useful tips on wedding planning (sometimes even beyond make-up, hair and outfit). I felt very assured leading up to the wedding because I knew she was on top of things. Even though I had to rejig the schedule a few times, she was patient and accommodating. Really appreciated the help. Both Joyce and Jovis (who helped my family with their make-up) are also excellent and skillful in what they do.”","Instagram: @joyceyeomakeup · facebook.com/joyceyeomakeup · +65 9067 9807 · hi@joyceyeomakeup.com · “Joyce has been an incredible help for my recent wedding. She provided practical and useful tips on wedding planning (sometimes even beyond make-up, hair and outfit). I felt very assured leading up to the wedding because I knew she was on top of things. Even though I had to rejig the schedule a few times, she was patient and accommodating. Really appreciated the help. Both Joyce and Jovis (who helped my family with their make-up) are also excellent and skillful in what they do.”",,,,2023-11-04T08:40:55Z
recTRx1YDLYoSowxY,Julian Ng Photography,All Vendors,Photographer & Videographer,photoswith.julian@gmail.com,+65 9651 0066,https://julian-ng.wixstudio.io/site,1051,"Instagram: @coloursofnostalgia · +65 9651 0066 · photoswith.julian@gmail.com · “Great shots, taken with style n capturing the moments, it was great to have you as our wedding photographer 😁”","Instagram: @coloursofnostalgia · +65 9651 0066 · photoswith.julian@gmail.com · “Great shots, taken with style n capturing the moments, it was great to have you as our wedding photographer 😁”",,,,2023-09-20T08:59:48Z
recOYKDt9nTkenUEc,Xigua Photobooth,All Vendors,Photobooth & Equipment,xiguaphotobooth@gmail.com,91007821,,1027,Instagram: @xiguaphotobooth · 91007821 · xiguaphotobooth@gmail.com · “The photo booth was awesome and our guests had lots of fun. Thank you so much! ”,Instagram: @xiguaphotobooth · 91007821 · xiguaphotobooth@gmail.com · “The photo booth was awesome and our guests had lots of fun. Thank you so much! ”,,,,2026-01-28T10:58:47Z
recfS9ZqXnrVPzmVA,Octopus Reels | Video Guestbook & Wedding Experiences,All Vendors,"Florists & Wedding Styling, Photobooth & Equipment",sales@octopusreels.com,+65 8628 8979,https://octopusreels.com/store-video-guestbook,1026,Instagram: @octopusreels · +65 8628 8979 · sales@octopusreels.com · “Had a wonderful experience with the team! Very professionally done for our wedding and we loved it so much! Excellent service and value for your money! Definitely a must get for weddings with Octopus Reel! :)”,Instagram: @octopusreels · +65 8628 8979 · sales@octopusreels.com · “Had a wonderful experience with the team! Very professionally done for our wedding and we loved it so much! Excellent service and value for your money! Definitely a must get for weddings with Octopus Reel! :)”,,,,2026-03-20T15:42:35Z
