name,slug,url,vendor_id,business_type,email,whatsapp_number,website,instagram,facebook,description,package_title,package_duration,package_price,package_details,photobook_count,average_rating,review_count,scraped_at
A Merry Mayhem,a-merry-mayhem,https://wedded.sg/photographers/a-merry-mayhem,019a892d-bb7d-7051-8cfc-a9fed16e801c,photographer,team@wedded.sg,,https://www.amerrymayhem.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Director Photographer,Delight - Director Photographer,8 hours,"$2,578SGD",600 edited photos | Professional editing | Personal online gallery (6 months),9,,0,2026-02-05T03:01:59.352278Z
A Merry Mayhem,a-merry-mayhem,https://wedded.sg/photographers/a-merry-mayhem,019a892d-bb7d-7051-8cfc-a9fed16e801c,photographer,team@wedded.sg,,https://www.amerrymayhem.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Director Photographer,Delight - Senior Photographer,8 hours,"$2,278SGD",600 edited photos | Professional editing | Personal online gallery (6 months),9,,0,2026-02-05T03:01:59.352278Z
A Merry Mayhem,a-merry-mayhem,https://wedded.sg/photographers/a-merry-mayhem,019a892d-bb7d-7051-8cfc-a9fed16e801c,photographer,team@wedded.sg,,https://www.amerrymayhem.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Director Photographer,Merry - Director Photographer,10 hours,"$2,948SGD",800 edited photos | Professional editing | Personal online gallery (6 months),9,,0,2026-02-05T03:01:59.352278Z
A Merry Mayhem,a-merry-mayhem,https://wedded.sg/photographers/a-merry-mayhem,019a892d-bb7d-7051-8cfc-a9fed16e801c,photographer,team@wedded.sg,,https://www.amerrymayhem.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Director Photographer,Merry - Senior Photographer,10 hours,"$2,648SGD",800 edited photos | Professional editing | Personal online gallery (6 months),9,,0,2026-02-05T03:01:59.352278Z
Said & Meant,said-and-meant,https://wedded.sg/photographers/said-and-meant,019b2159-25dc-787d-877e-695bf4ae39f9,photographer,team@wedded.sg,,https://www.saidandmeant.co/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/saidandmeant/,Lead Photographer,,,,,9,,0,2026-02-05T03:02:02.132261Z
Brandon Seah,brandon-seah,https://wedded.sg/photographers/brandon-seah,019a8b6d-28ef-7330-aa5a-b2751cdd2a4c,photographer,team@wedded.sg,,https://www.brandonseah.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/brandonseahphotography,Lead Photographer,Pre Wedding,3 hours,"$1,180SGD",Up to 3 hours pre wedding coverage,9,,0,2026-02-05T03:02:03.288733Z
Brandon Seah,brandon-seah,https://wedded.sg/photographers/brandon-seah,019a8b6d-28ef-7330-aa5a-b2751cdd2a4c,photographer,team@wedded.sg,,https://www.brandonseah.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/brandonseahphotography,Lead Photographer,Wedding Day,10 hours,"$2,680SGD",Up to 10 hours wedding day coverage.,9,,0,2026-02-05T03:02:03.288733Z
TakePikChua,takepikchua,https://wedded.sg/photographers/takepikchua,019a8c44-a754-7c5f-add2-d20e9d7cd5aa,photographer,team@wedded.sg,,https://www.takepikchua.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder | Main Photographer,Photographer,1 hour 30 mins,$730SGD,"Min 100 images | Additional duration is prorated as per package price, chargeable on a 30 min basis",9,,0,2026-02-05T03:02:03.410491Z
TakePikChua,takepikchua,https://wedded.sg/photographers/takepikchua,019a8c44-a754-7c5f-add2-d20e9d7cd5aa,photographer,team@wedded.sg,,https://www.takepikchua.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder | Main Photographer,Photographer,5 hours,"$1,800SGD","Min 300 images | Additional duration is prorated as per package price, chargeable on a 30 min basis",9,,0,2026-02-05T03:02:03.410491Z
TakePikChua,takepikchua,https://wedded.sg/photographers/takepikchua,019a8c44-a754-7c5f-add2-d20e9d7cd5aa,photographer,team@wedded.sg,,https://www.takepikchua.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder | Main Photographer,Photographer,8 hours,"$2,350SGD","Min 480 images | Additional duration is prorated as per package price, chargeable on a 30 min basis",9,,0,2026-02-05T03:02:03.410491Z
TakePikChua,takepikchua,https://wedded.sg/photographers/takepikchua,019a8c44-a754-7c5f-add2-d20e9d7cd5aa,photographer,team@wedded.sg,,https://www.takepikchua.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder | Main Photographer,Photographer,10 hours,"$2,700SGD","Min 600 images | Additional duration is prorated as per package price, chargeable on a 30 min basis",9,,0,2026-02-05T03:02:03.410491Z
The Curious Kind,the-curious-kind,https://wedded.sg/photographers/the-curious-kind,019b1cee-1551-7c15-9a10-301c66412a0d,photographer,team@wedded.sg,,https://www.thecuriouskind.sg/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder | Lead Photographer,Celine - Hourly Rate,1 hour,$280SGD,2 hours | min. 150 edited photos returned |  | 6 hours | min. 350 edited photos returned |  | 8 hours | min. 450 edited photos returned |  | 10 hours | min. 550 edited photos returned,9,,0,2026-02-05T03:02:02.759997Z
The Curious Kind,the-curious-kind,https://wedded.sg/photographers/the-curious-kind,019b1cee-1551-7c15-9a10-301c66412a0d,photographer,team@wedded.sg,,https://www.thecuriouskind.sg/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder | Lead Photographer,Kim - Hourly Rate,1 hour,$320SGD,2 hours | min. 150 edited photos returned |  | 6 hours | min. 350 edited photos returned |  | 8 hours | min. 450 edited photos returned |  | 10 hours | min. 550 edited photos returned,9,,0,2026-02-05T03:02:02.759997Z
Nehechee Photography,nehechee-photography,https://wedded.sg/photographers/nehechee-photography,019ab15c-b89c-7a1f-99c5-697d027c5490,photographer,team@wedded.sg,,https://www.nehechee.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Associate Photographer,10 hours,"$1,988SGD",Min 580 edited images,9,,0,2026-02-05T03:02:03.539954Z
Nehechee Photography,nehechee-photography,https://wedded.sg/photographers/nehechee-photography,019ab15c-b89c-7a1f-99c5-697d027c5490,photographer,team@wedded.sg,,https://www.nehechee.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Associate Photographer,8 hours,"$1,588SGD",Min 480 edited images,9,,0,2026-02-05T03:02:03.539954Z
Nehechee Photography,nehechee-photography,https://wedded.sg/photographers/nehechee-photography,019ab15c-b89c-7a1f-99c5-697d027c5490,photographer,team@wedded.sg,,https://www.nehechee.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Associate Photographer,6 hours,"$1,288SGD",Min 380 edited images,9,,0,2026-02-05T03:02:03.539954Z
Nehechee Photography,nehechee-photography,https://wedded.sg/photographers/nehechee-photography,019ab15c-b89c-7a1f-99c5-697d027c5490,photographer,team@wedded.sg,,https://www.nehechee.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Lead Photographer,10 hours,"$2,988SGD",Min 580 edited images,9,,0,2026-02-05T03:02:03.539954Z
Nehechee Photography,nehechee-photography,https://wedded.sg/photographers/nehechee-photography,019ab15c-b89c-7a1f-99c5-697d027c5490,photographer,team@wedded.sg,,https://www.nehechee.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Lead Photographer,8 hours,"$2,588SGD",Min 480 edited images,9,,0,2026-02-05T03:02:03.539954Z
Nehechee Photography,nehechee-photography,https://wedded.sg/photographers/nehechee-photography,019ab15c-b89c-7a1f-99c5-697d027c5490,photographer,team@wedded.sg,,https://www.nehechee.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Lead Photographer,6 hours,"$2,288SGD",Min 380 edited images,9,,0,2026-02-05T03:02:03.539954Z
peelmyprawns,peelmyprawns,https://wedded.sg/photographers/peelmyprawns,019b26bb-55c4-799d-b13b-be950ea50771,photographer,team@wedded.sg,,https://peelmyprawns.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder & Photographer,full day package,1 hour,$250SGD,Minimum booking of 5 hours | $100 OFF Pre-Wed Photos if Bundled with ACTUAL DAY PHOTO (Min 5 hours) | 1x Photographer | 1x Location | 2 Rounds of Edit Revisions | 3-5 working days for each round of draft | Edited photos will be sent via google drive,8,,0,2026-02-05T03:02:05.237037Z
peelmyprawns,peelmyprawns,https://wedded.sg/photographers/peelmyprawns,019b26bb-55c4-799d-b13b-be950ea50771,photographer,team@wedded.sg,,https://peelmyprawns.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder & Photographer,half day package,1 hour,$280SGD,For coverage between 2 - 4 hours | 1x Photographer | 1x Location | 2 Rounds of Edit Revisions | 3-5 working days for each round of draft | Edited photos will be sent via google drive,8,,0,2026-02-05T03:02:05.237037Z
Thomas Tan Photography,thomas-tan-photography,https://wedded.sg/photographers/thomas-tan-photography,019a8c63-0837-7684-b072-eeefe42364ec,photographer,team@wedded.sg,,https://thomastan.sg/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/thomastanphotog,Lead Photographer,,,,,8,,0,2026-02-05T03:02:05.804941Z
Andri Tei Photography,andri-tei-photography,https://wedded.sg/photographers/andri-tei-photography,019a8b2e-83c1-702f-b0e3-261deaba1677,photographer,team@wedded.sg,,https://andritei.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/andriteiphotography,Lead Photographer,Photographer,3 hours,"$1,200SGD",All images colour edited | Online client gallery,7,,0,2026-02-05T03:02:06.257801Z
Andri Tei Photography,andri-tei-photography,https://wedded.sg/photographers/andri-tei-photography,019a8b2e-83c1-702f-b0e3-261deaba1677,photographer,team@wedded.sg,,https://andritei.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/andriteiphotography,Lead Photographer,Photographer,6 hours,"$2,200SGD",All images colour edited | Online client gallery,7,,0,2026-02-05T03:02:06.257801Z
Andri Tei Photography,andri-tei-photography,https://wedded.sg/photographers/andri-tei-photography,019a8b2e-83c1-702f-b0e3-261deaba1677,photographer,team@wedded.sg,,https://andritei.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/andriteiphotography,Lead Photographer,Photographer,10 hours,"$3,300SGD",All images colour edited | Online client gallery,7,,0,2026-02-05T03:02:06.257801Z
Andri Tei Photography,andri-tei-photography,https://wedded.sg/photographers/andri-tei-photography,019a8b2e-83c1-702f-b0e3-261deaba1677,photographer,team@wedded.sg,,https://andritei.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/andriteiphotography,Lead Photographer,Photographer,10 hours,"$3,500SGD",All images colour edited | Online client gallery | 80 4R prints | Custom wooden box with name engraved,7,,0,2026-02-05T03:02:06.257801Z
Not Pixelated,not-pixelated,https://wedded.sg/photographers/not-pixelated,019a8c11-1eb7-79fb-a31e-a14fc691ddf9,photographer,team@wedded.sg,,https://www.notpixelated.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/notpixelated,Lead Photographer,Photographer,6 hours,"$2,690SGD",Up to 400 digital edited images | 30 days online photo gallery,7,,0,2026-02-05T03:02:06.305643Z
Not Pixelated,not-pixelated,https://wedded.sg/photographers/not-pixelated,019a8c11-1eb7-79fb-a31e-a14fc691ddf9,photographer,team@wedded.sg,,https://www.notpixelated.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/notpixelated,Lead Photographer,Photographer,8 hours,"$2,890SGD",Up to 500 digital edited images | 30 days online photo gallery,7,,0,2026-02-05T03:02:06.305643Z
Not Pixelated,not-pixelated,https://wedded.sg/photographers/not-pixelated,019a8c11-1eb7-79fb-a31e-a14fc691ddf9,photographer,team@wedded.sg,,https://www.notpixelated.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/notpixelated,Lead Photographer,Photographer,10 hours,"$3,090SGD",Up to 600 digital edited images | 30 days online photo gallery,7,,0,2026-02-05T03:02:06.305643Z
Morii Space,morii-space,https://wedded.sg/photographers/morii-space,019a8c06-f724-7745-81ab-d39a2627d7cb,photographer,team@wedded.sg,,https://www.moriispace.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/moriispace/,Actual Day Wedding,Photographer,8 hours,"$2,350SGD",1 main photographer & a 2nd photographer | Min. 360 edited soft copies images | Shared via online gallery | Within 4-6 weeks from the wedding date,6,,0,2026-02-05T03:02:07.078014Z
Morii Space,morii-space,https://wedded.sg/photographers/morii-space,019a8c06-f724-7745-81ab-d39a2627d7cb,photographer,team@wedded.sg,,https://www.moriispace.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/moriispace/,Actual Day Wedding,Photographer,6 hours,"$1,950SGD",1 main photographer | Min. 250 edited soft copies images | Shared via online gallery | Within 4-6 weeks from the wedding date,6,,0,2026-02-05T03:02:07.078014Z
Morii Space,morii-space,https://wedded.sg/photographers/morii-space,019a8c06-f724-7745-81ab-d39a2627d7cb,photographer,team@wedded.sg,,https://www.moriispace.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/moriispace/,Actual Day Wedding,Photographer,10 hours,"$2,600SGD",1 main photographer & a 2nd photographer | Min. 450 edited soft copies images | Shared via online gallery | Within 4-6 weeks from the wedding date,6,,0,2026-02-05T03:02:07.078014Z
Amabelle Photography,amabelle-photography,https://wedded.sg/photographers/amabelle-photography,019a8941-5aa0-7830-b80c-48c3f2e3b24a,photographer,team@wedded.sg,,https://www.amabelleang.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Photographer,8 hours,"$2,480SGD","Include min. 400 images, online client download link, sneaks within 7 days after AD and all good colour edited images returned",5,,0,2026-02-05T03:02:08.286102Z
Amabelle Photography,amabelle-photography,https://wedded.sg/photographers/amabelle-photography,019a8941-5aa0-7830-b80c-48c3f2e3b24a,photographer,team@wedded.sg,,https://www.amabelleang.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Photographer,10 hours,"$2,880SGD","Include min. 500 images, online client download link, sneaks within 7 days after AD and all good colour edited images returned",5,,0,2026-02-05T03:02:08.286102Z
Amabelle Photography,amabelle-photography,https://wedded.sg/photographers/amabelle-photography,019a8941-5aa0-7830-b80c-48c3f2e3b24a,photographer,team@wedded.sg,,https://www.amabelleang.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Photographer,2 hours,$800SGD,"Include min. 100 images, online client download link, sneaks (10 - 12 photos) within 7 days after AD and all good colour edited images returned",5,,0,2026-02-05T03:02:08.286102Z
Amabelle Photography,amabelle-photography,https://wedded.sg/photographers/amabelle-photography,019a8941-5aa0-7830-b80c-48c3f2e3b24a,photographer,team@wedded.sg,,https://www.amabelleang.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Photographer,6 hours,"$1,980SGD","Include min. 300 images, online client download link, sneaks within 7 days after AD and all good colour edited images returned",5,,0,2026-02-05T03:02:08.286102Z
teririum,teririum,https://wedded.sg/photographers/teririum,019b22d2-8173-7980-9bca-77ab21b8e89d,photographer,team@wedded.sg,,https://www.teririum.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Owner,Best Wedding,10 hours,"$3,600SGD",700+ high res colour edited images,5,,0,2026-02-05T03:02:08.604136Z
teririum,teririum,https://wedded.sg/photographers/teririum,019b22d2-8173-7980-9bca-77ab21b8e89d,photographer,team@wedded.sg,,https://www.teririum.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Owner,Medium Wedding,7 hours,"$2,700SGD",500+ high res colour edited images,5,,0,2026-02-05T03:02:08.604136Z
teririum,teririum,https://wedded.sg/photographers/teririum,019b22d2-8173-7980-9bca-77ab21b8e89d,photographer,team@wedded.sg,,https://www.teririum.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Owner,Mini Wedding,4 hours,"$1,800SGD",350+ high res colour edited images,5,,0,2026-02-05T03:02:08.604136Z
Pocketful of Us,pocketful-of-us,https://wedded.sg/photographers/pocketful-of-us,019b216c-e07e-72b9-930b-d2d04a7a2570,photographer,team@wedded.sg,,https://www.pocketfulofus.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Wedding,6 hours,"$2,388SGD",300 colour edited images | custom keepsake box with 25 photo prints,5,,0,2026-02-05T03:02:09.369849Z
Pocketful of Us,pocketful-of-us,https://wedded.sg/photographers/pocketful-of-us,019b216c-e07e-72b9-930b-d2d04a7a2570,photographer,team@wedded.sg,,https://www.pocketfulofus.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Wedding,8 hours,"$2,888SGD",500 colour edited images | custom keepsake box with 25 photo prints,5,,0,2026-02-05T03:02:09.369849Z
Pocketful of Us,pocketful-of-us,https://wedded.sg/photographers/pocketful-of-us,019b216c-e07e-72b9-930b-d2d04a7a2570,photographer,team@wedded.sg,,https://www.pocketfulofus.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Founder,Wedding,10 hours,"$3,388SGD",700 colour edited images | custom keepsake box with 25 photo prints,5,,0,2026-02-05T03:02:09.369849Z
Rhapsody Weddings,rhapsody-weddings,https://wedded.sg/photographers/rhapsody-weddings,019af3fa-f1e6-728e-9c60-3999af4d432e,photographer,team@wedded.sg,,https://www.rhapsody.sg/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Wedding Day Coverage,6 hours,"$2,000SGD",> 380 colour edited images | Private link to download images | Deliver within 2 weeks of wedding day,4,,0,2026-02-05T03:02:09.166761Z
Rhapsody Weddings,rhapsody-weddings,https://wedded.sg/photographers/rhapsody-weddings,019af3fa-f1e6-728e-9c60-3999af4d432e,photographer,team@wedded.sg,,https://www.rhapsody.sg/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Wedding Day Coverage,8 hours,"$2,500SGD",> 480 colour edited images | Private link to download images | Deliver within 2 weeks of wedding day,4,,0,2026-02-05T03:02:09.166761Z
Rhapsody Weddings,rhapsody-weddings,https://wedded.sg/photographers/rhapsody-weddings,019af3fa-f1e6-728e-9c60-3999af4d432e,photographer,team@wedded.sg,,https://www.rhapsody.sg/,https://www.instagram.com/p/DUKPqI9j_s4,,Lead Photographer,Wedding Day Coverage,10 hours,"$3,000SGD",> 580 colour edited images | Private link to download images | Deliver within 2 weeks of wedding day,4,,0,2026-02-05T03:02:09.166761Z
